ID,First Name,Last Name,Email,Car Make,Car Model,VIN,Manufactured Date,Age of Vehicle (Years)
00008209-a14d-47ef-8449-1d50f2172a15,Jane,Smith,jane.smith610@example.com,Nissan,Altima,AT454O1PTX8FEWUJ1,2020-08-24,5
0005a2ad-7668-4c79-960c-c6ec864506a4,James,Harris,james.harris496@example.com,Hyundai,Elantra,GVRWW4CNGX81C97RW,2024-09-28,1
003c31f4-0c29-42e0-b905-60e20107b9f3,Andrew,Jackson,andrew.jackson836@example.com,Kia,Sorento,AXH38IQ3I0X50EWFY,2023-05-28,2
00729675-6710-4a22-98b3-01a195a904bf,James,Martin,james.martin132@example.com,Hyundai,Elantra,VDDTJTMGU92H99VEU,2023-07-06,2
00a4f68e-c8e7-4e0b-b36a-5229180b5851,Lisa,Harris,lisa.harris294@example.com,Audi,A4,BUAR6KU1MVDHQILIZ,2019-11-09,6
0102da6a-bb03-4a38-b537-fae8f271387f,David,Lee,david.lee608@example.com,Mazda,CX-5,YTBHZAYLEA8POTI39,2023-12-26,2
0141b1dc-6e34-464f-8996-c7daef12815b,Michelle,White,michelle.white181@example.com,Nissan,Sentra,5LEZVBFOT5L3MSP6P,2017-11-11,8
01a0c864-a0df-4b0b-8b15-59090a44807f,Michael,Harris,michael.harris565@example.com,Ford,Focus,HYLM8GDXDJ8K2WXAZ,2021-06-18,4
01c56628-4b06-4609-b170-4266a6437d53,Michael,Johnson,michael.johnson531@example.com,Tesla,Model Y,IL1XE2RMVGQZ5J398,2022-02-15,4
01db5692-0932-4a11-9e2d-4e1175a703fa,Mark,Miller,mark.miller545@example.com,BMW,5 Series,VRYGES9YZZA3SRXLJ,2019-11-27,6
023b0472-7e56-4c01-bf06-9fc84d1914a8,Michelle,White,michelle.w@example.com,Kia,Sportage,KNDPM3AC0K7123456,2022-09-30,3
029132aa-fcca-45cf-8032-0f67a59d3cc8,Mark,Taylor,mark.taylor514@example.com,Mazda,Mazda3,KV4GVM13YJUU2INBS,2020-06-08,5
02e47737-d981-4bec-a562-7d56b29593f2,Michael,Garcia,michael.garcia960@example.com,Nissan,Altima,3DLBBWYPC1G3AMNIH,2017-12-19,8
030a34d6-1c5e-4dc2-977b-c883cc3bc2a1,Emily,Lee,emily.lee231@example.com,Ford,Explorer,W176BP262ACGL92SH,2021-12-02,4
03f0e0bb-44be-4bb5-91a8-33ca06aa334f,Sophia,Anderson,sophia.anderson987@example.com,BMW,5 Series,KD39WGO7Y5GD1CJJW,2024-07-06,1
03f7cd1c-967e-480b-a9ba-7812ef3802a7,Kevin,Anderson,kevin.anderson446@example.com,Mazda,CX-5,1KF4Y2SVSR8D9TD5B,2018-10-13,7
043cea6c-1e85-41e6-9ef3-268d3efd4624,James,Moore,james.moore747@example.com,BMW,5 Series,N2EE4RO6MJVXNP6Y6,2017-05-13,8
04604bbb-38eb-445e-b269-facded596d10,Chris,Anderson,chris.anderson795@example.com,Audi,A4,QB1CADT5VID3LJDBY,2024-11-30,1
0470385e-fe3e-4245-a280-4c06f0914991,Sophia,Thomas,sophia.thomas477@example.com,Hyundai,Elantra,9E03O06V8X363EEFQ,2020-08-13,5
050fe882-bc89-4064-9771-a62cc07e8b79,Sarah,Davis,sarah.davis@example.com,BMW,3 Series,WBA8E1C50HK123456,2023-02-14,3
0511e8c4-8168-472b-a2dd-839fff7b8e30,Michael,Taylor,michael.taylor535@example.com,Ford,F-150,9FXTVA934UNK06OWX,2020-03-18,5
